Karmn,Name,RA_J2000,DE_J2000,Ref01,muRA_masa-1,muDE_masa-1,Ref07,pi_mas,Ref08,Vr_kms-1,Ref10,BP_mag,Ref25,RP_mag,Ref32,Gaia_id
J00268+701,GJ 21,00:26:52.70,+70:08:32.7,DR3,-137.093950737955,-146.232560036551,DR3,61.8731104357192,DR3,-3.399,DR3,10.749,DR3,8.6844,UCAC4,530158019855216896
J00271+496,G 217-051,00:27:06.78,+49:41:52.9,DR3,367.633354539201,-224.684514688312,DR3,44.813660338643,DR3,-29.773,DR3,14.4553,DR3,11.5187,UCAC4,391624571277556992
J00279+223,LP 349-025,00:27:56.01,+22:19:32.6,DR3,392.716662440927,-186.588330813583,DR3,70.7810107116831,DR3,-15.8,Des12,18.3133,DR3,13.3842,SDSS9,2799992744809482112
J00286-066,GJ 1012,00:28:39.46,-06:39:49.2,DR3,-327.7926525418,-800.633964973426,DR3,74.7107493247536,DR3,-12.47,DR3,12.4077,DR3,9.6977,PS1,2430731144829585280
J00288+503,G 172-001,00:28:53.91,+50:22:33.1,DR3,447.857202855878,132.925043983493,DR2,74.2071236469753,DR2,-7.1,PMSU,13.4364,DR3,10.58,UCAC4,391750774597738368
J00315-058,GJ 1013,00:31:35.41,-05:52:13.1,DR3,350.972144018962,-1055.47497446093,DR3,71.0237293403241,DR3,-9.59,DR3,13.0121,DR3,10.3625,SDSS9,2526862202360516224
J00322+544,G 217-056,00:32:15.72,+54:29:02.3,DR3,-208.268917930888,-441.043151686105,DR3,49.9502402695547,DR3,-15.991,DR3,14.1194,DR3,11.189,UCAC4,418077858975682304
J00324+672N,BD+66 34A,00:32:29.51,+67:14:09.1,DR3,1748.31894578628,-347.589292794572,DR3,101.086427299129,DR3,-3.374,DR3,10.7255,DR3,8.421,UCAC4,527956488340229632
J00324+672S,BD+66 34B,00:32:29.59,+67:14:03.8,DR3,1703.22563528357,-250.056238546162,DR3,100.396602870012,DR3,-0.541,DR3,12.516,DR3,9.8965,,527956488339113600
J00325+074,LP 525-39 A,00:32:34.80,+07:29:26.8,DR3,104.363480235147,-62.9113396436932,DR3,28.4342600849497,DR3,0.9,PMSU,12.8693,DR3,10.1106,UCAC4,2749470902772705408
